주차장명,주차대수,year
여의도2주차장,626,2023
여의도4주차장,35,2023
여의도1주차장,1706,2023
여의도5주차장,138,2023
여의도3주차장,2057,2023
여의도2주차장,477,2023
여의도4주차장,33,2023
여의도5주차장,138,2023
여의도3주차장,447,2023
여의도1주차장,1126,2023
여의도5주차장,284,2023
여의도4주차장,173,2023
여의도2주차장,721,2023
여의도3주차장,1136,2023
여의도1주차장,1470,2023
여의도5주차장,309,2023
여의도2주차장,654,2023
여의도3주차장,865,2023
여의도4주차장,184,2023
여의도1주차장,1276,2023
여의도1주차장,1122,2023
여의도4주차장,199,2023
여의도3주차장,1130,2023
여의도2주차장,617,2023
여의도5주차장,300,2023
여의도5주차장,318,2023
여의도3주차장,1031,2023
여의도2주차장,559,2023
여의도4주차장,207,2023
여의도1주차장,1213,2023
여의도5주차장,144,2023
여의도4주차장,30,2023
여의도2주차장,632,2023
여의도3주차장,1925,2023
여의도1주차장,1504,2023
여의도3주차장,2190,2023
여의도4주차장,36,2023
여의도5주차장,160,2023
여의도1주차장,1619,2023
여의도2주차장,643,2023
여의도3주차장,416,2023
여의도5주차장,140,2023
여의도4주차장,32,2023
여의도1주차장,1120,2023
여의도2주차장,3503,2023
여의도2주차장,600,2023
여의도1주차장,1006,2023
여의도3주차장,979,2023
여의도4주차장,189,2023
여의도5주차장,396,2023
여의도1주차장,989,2023
여의도3주차장,859,2023
여의도4주차장,198,2023
여의도2주차장,496,2023
여의도5주차장,359,2023
여의도5주차장,405,2023
여의도1주차장,864,2023
여의도3주차장,830,2023
여의도4주차장,183,2023
여의도2주차장,396,2023
여의도2주차장,482,2023
여의도1주차장,1155,2023
여의도3주차장,933,2023
여의도5주차장,388,2023
여의도4주차장,211,2023
여의도5주차장,368,2023
여의도1주차장,931,2023
여의도3주차장,961,2023
여의도4주차장,229,2023
여의도2주차장,498,2023
여의도2주차장,392,2023
여의도3주차장,1230,2023
여의도4주차장,28,2023
여의도5주차장,126,2023
여의도1주차장,949,2023
여의도1주차장,943,2023
여의도5주차장,163,2023
여의도2주차장,475,2023
여의도4주차장,35,2023
여의도3주차장,266,2023
여의도4주차장,257,2023
여의도5주차장,277,2023
여의도1주차장,1025,2023
여의도3주차장,889,2023
여의도2주차장,503,2023
여의도5주차장,342,2023
여의도4주차장,244,2023
여의도3주차장,936,2023
여의도2주차장,518,2023
여의도1주차장,976,2023
여의도3주차장,1143,2023
여의도5주차장,328,2023
여의도4주차장,222,2023
여의도2주차장,678,2023
여의도1주차장,1305,2023
여의도3주차장,992,2023
여의도1주차장,1318,2023
여의도2주차장,640,2023
