,연도,광역 단체명,기초 단체명,축제명,축제유형,개최기간,개최장소
0,2023,서울,"서초구, 영등포구",2023 한강달빛 야시장,기타(주민화합 등),"4.30.~6.4. / 
9.16~10.22.","반포한강공원 / 
여의도한강공원"
1,2023,서울,영등포구,제17회 영등포 여의도 봄꽃축제,문화예술,4. 4. ~ 4. 9.(예정),여의서로 벚꽃길 및 한강공원 일대
2,2024,서울,-,2024 책읽는 한강공원,문화예술,"5~6월, 9~10월 
매주 토요일","강서한강공원, 여의도한강공원"
3,2024,서울,-,제18회 서울안전한마당,안전문화,05.02.~05.04.,여의도공원
4,2024,서울,-,서울라이트 한강 빛섬축제 ,문화예술,10.5.~10.13.,여의도한강공원
5,2024,서울,-,한강종이비행기축제,기타,09.07.,여의도한강공원
6,2024,서울,영등포구,제18회 영등포 여의도 봄꽃축제,"문화예술, 생태자연",3월말 중,여의동
7,2025,서울,-,제19회 서울안전한마당,주민화합,5.1~5.3,여의도공원
8,2025,서울,-,2025 책읽는 한강공원,문화예술,5.3~10.16,"여의도, 이촌, 잠원, 광나루 한강공원"
9,2025,서울,-,한강 종이비행기 축제,문화예술,10.18~10.18,여의도한강공원
10,2025,서울,영등포구,제19회 영등포 여의도 봄꽃축제,문화예술,4월,여의서로 벚꽃길
